package_name,ecosystem,max_entropy,avg_entropy,eval_count,exec_count,base64_count,network_imports,label
game-diff-0.0.6,NPM,5.848636460846059,4.813665951341434,0,0,0,0,0
game-flower-0.0.36,NPM,5.31149523423466,4.031251765448594,0,0,0,0,0
game-llk-0.0.9,NPM,5.7233937826322965,4.283057372430086,0,0,0,0,0
game-of-life-wc-0.0.5,NPM,7.9841774518629505,5.996474676479157,0,0,0,0,0
game-rotate2-0.0.3,NPM,5.347412549074915,4.075525440308249,0,0,0,0,0
game-wawa-0.0.9,NPM,6.005672682031799,4.1705326107461556,0,0,0,0,0
game-ysl2-0.0.4,NPM,5.520973977937254,4.1433764918632034,0,0,0,0,0
geeo-javascript-1.0.1,NPM,5.193169151520172,4.8942010385798955,0,0,0,0,0
generate-heightmap-mesh-0.0.162,NPM,5.0746471398969355,4.880765573954034,0,0,0,0,0
generator-omni-module-1.0.1,NPM,5.115301580100325,4.448678869173253,0,0,0,0,0
generator-wbelement-0.1.5,NPM,5.09750902172456,4.581704685743633,0,0,0,0,0
genesis-0.0.20-alpha,NPM,5.17087128248862,4.952863147964952,0,0,0,0,0
genpipe-0.0.5,NPM,4.776171705063092,4.538042328329951,0,0,0,0,0
get-countup-countdown-2.0.1,NPM,5.080674484642151,4.784449107377427,0,0,0,0,0
giticon-1.0.8,NPM,5.393269241728178,4.926025157770902,0,0,0,0,0
gl-image-0.0.15,NPM,5.0951228260347605,4.721425835133579,0,0,0,0,0
global-tax-tool-0.0.12,NPM,4.988450040423272,4.756044315161276,0,0,0,0,0
glslup-0.0.10,NPM,5.856412018049089,4.982616539092805,0,0,0,0,0
gm-snake-0.0.14,NPM,6.023050660455228,5.056513282290562,0,0,0,0,0
gpt-0.0.3,NPM,5.058653397045025,4.749687218845766,0,0,0,0,0
granite-alarmlight-2.1.4,NPM,5.027968054242848,4.5802276445454595,0,0,0,0,0
graph-1.0.1-ts.1,NPM,5.322862772944868,4.925329820665344,0,0,0,0,0
graphai-1.0.4,NPM,5.3241092441658715,4.723234094803604,0,0,0,0,0
graycolorize-0.1.2,NPM,7.832573067200127,5.451908152890833,0,0,0,0,0
gren-lang-0.5.4,NPM,5.162697053305631,4.9122829101687016,0,0,0,0,0
grunt-angular-templates-amd-0.1.0,NPM,5.109977631881124,4.492641925357004,0,0,0,0,0
grunt-apidoc-0.11.0,NPM,5.134745022499747,4.679389492923528,0,0,0,0,0
grunt-aws-util-0.0.2,NPM,5.2834871196026985,4.54827878128714,0,0,0,0,0
grunt-bustr-1.4.1,NPM,4.989169072422921,4.712084843700676,0,0,0,0,0
grunt-check-modules-1.1.0,NPM,5.122829373634556,4.584575667092324,0,1,0,0,0
grunt-checkrepo-0.1.0,NPM,5.006748880675349,4.7076859887922655,0,0,0,0,0
grunt-commenthash-0.0.8,NPM,5.103172753207964,4.430934567918964,0,0,0,0,0
grunt-contrib-compress-1.4.4,NPM,5.176289767393087,4.80190798998507,0,0,0,0,0
grunt-contrib-handlebars-es2015-0.11.1,NPM,5.173720423447354,4.812605063015227,0,0,0,0,0
grunt-contrib-requirejs-1.0.0,NPM,5.140209536976857,4.816207542955283,0,0,0,0,0
grunt-contrib-stylus-1.2.0,NPM,5.222267576736554,4.795357277774336,0,0,0,0,0
grunt-contrib-stylus-map-0.21.1,NPM,5.268932755959262,4.924107207048062,0,0,0,0,0
grunt-directory-security-0.2.0,NPM,4.954077726558404,4.640001422511734,0,0,0,0,0
grunt-doxication-0.0.4,NPM,5.100393572696956,4.535380495038968,0,0,0,0,0
grunt-electron-installer-flatpak-0.5.0,NPM,7.9465324467099,5.2972804482998095,0,0,0,0,0
grunt-ember-handlebars-0.8.0,NPM,5.117546828740794,4.7145773383935135,0,0,0,0,0
grunt-excision-1.3.0,NPM,5.114978985465715,4.68817019898239,0,0,0,0,0
grunt-github-update-status-0.0.2,NPM,7.5902603259650565,5.156635874176371,0,1,0,0,0
grunt-iced-coffee-0.7.0-a,NPM,5.098570109185218,4.433223434529374,0,0,0,0,0
grunt-jsonschema-faker-0.3.1,NPM,5.169094327750194,4.784737425262726,0,0,0,0,0
grunt-karma-4.0.2,NPM,5.291807021600567,4.616675212837889,0,1,0,0,0
grunt-net-1.0.0,NPM,5.108332128737538,4.475540037267711,0,0,0,0,0
grunt-ngdoc-0.1.3,NPM,4.944646049724451,4.13058954451938,0,0,0,0,0
grunt-optimusjs-0.2.2,NPM,5.372727279962075,4.594602206287404,1,0,0,0,0
grunt-phpmd-0.1.1,NPM,4.938761454438642,4.473361910739073,0,0,0,0,0
grunt-plovr-ext-2.0.1,NPM,7.944349539543641,4.371893874258856,0,0,0,0,0
grunt-sails-linker-1.0.4,NPM,4.985435168602241,4.82808987835932,0,0,0,0,0
grunt-scaffold-0.7.0,NPM,5.117637379491658,3.6045020973407813,0,0,0,0,0
grunt-scruffy-1.0.3,NPM,5.125166592462752,4.674742913473128,0,1,0,0,0
grunt-set-env-0.1.3,NPM,5.149247234291316,4.560242152800408,0,0,0,0,0
grunt-shell-spawn2-0.3.4,NPM,4.773577103621776,4.529027055366191,0,2,0,0,0
grunt-slack-notifier-0.1.0,NPM,4.931433186217255,4.755723318014412,0,0,0,0,0
grunt-smushit-2.1.0,NPM,5.102216913504411,4.297019021460563,0,0,0,0,0
grunt-sp_module-0.1.1,NPM,5.215384185563334,4.482671992791753,0,0,0,0,0
grunt-statistiks-0.2.2,NPM,5.105162099106458,4.330533810376458,0,0,0,0,0
grunt-svg-merge-0.1.2,NPM,5.222185683431513,4.7209304037512805,0,0,0,0,0
grunt-sweet-0.2.2,NPM,5.146759684640609,4.585819415001841,0,0,0,0,0
grunt-tamia-sprite-0.3.1,NPM,7.5746038552477835,5.451569824918219,0,0,0,0,0
grunt-template-js-0.0.2,NPM,5.100873211652441,4.8663379149807495,0,0,0,0,0
grunt-tenutil-0.0.5,NPM,4.967403615463717,4.677913645187139,0,0,0,0,0
grunt-uidocs-generator-0.7.0,NPM,7.990023191088422,5.217482169804306,1,0,0,0,0
grunt-wuml-1.0.2,NPM,5.125166592462752,4.678765398195231,0,0,0,0,0
gsap-promise-4.0.1,NPM,5.09902234191617,4.706220984671117,0,0,0,0,0
gsap-rn-0.0.18,NPM,7.96080164414632,5.1648455558132556,0,0,0,0,0
gsim-0.0.6,NPM,7.7893195275884075,4.6212341700498305,0,0,0,0,0
gui-1.3.2,NPM,5.22973563576355,4.819127628072773,0,0,0,0,0
gulp-task-build-js-browserify-0.19.0,NPM,5.295514532794928,5.114419303507909,0,0,0,0,0
ha-mongo-client-1.1.2,NPM,5.12011720485865,4.73054110891322,0,0,0,0,0
